red,green,blue,Y,cblue,cred,class
178.303281,159.679501,149.244851,164.05846111999998,105.75514899999999,76.696719,0
161.491964,152.12986,138.925154,153.423792612,116.07484600000001,93.508036,0
182.017002,166.890297,156.652368,170.24605788899999,98.347632,72.98299800000001,0
152.382343,140.914316,123.581316,142.36729407299998,131.41868399999998,102.61765700000001,0
150.015161,138.391759,121.908504,139.98806512800002,133.091496,104.984839,0
147.41628,135.841866,120.155402,137.51435888999998,134.84459800000002,107.58372,0
160.939405,134.272442,112.067837,139.714538967,142.932163,94.060595,0
160.033016,140.660201,124.554994,144.616679087,130.445006,94.966984,0
159.593341,142.151317,123.343744,145.22241885399998,131.65625599999998,95.40665899999999,0
167.023862,144.663881,122.349259,148.805648411,132.65074099999998,87.97613799999999,0
175.329271,149.677625,128.868963,154.975279686,126.13103699999999,79.670729,0
158.761096,145.149081,127.754069,147.23604211699998,127.245931,96.23890399999999,0
175.661619,150.582565,126.346354,155.318274092,128.65364599999998,79.338381,0
163.918228,138.241918,122.520317,144.126872176,132.479683,91.081772,0
157.087053,141.827581,123.811149,144.33628987999998,131.188851,97.912947,0
150.222566,146.95436,136.509081,146.740791788,118.49091899999999,104.777434,0
170.542937,149.452109,127.209758,153.222638558,127.790242,84.457063,0
166.948257,148.221625,128.013985,151.517217008,126.98601500000001,88.05174299999999,0
157.941375,152.694004,139.315003,152.73776181499997,115.68499700000001,97.058625,0
168.797825,153.379855,134.066215,155.78807307,120.933785,86.20217500000001,0
150.536639,147.236552,134.767739,146.801833331,120.232261,104.46336099999999,0
152.948423,148.665013,137.10017,148.627360488,117.89983000000001,102.05157700000001,0
147.086716,135.055981,113.015067,136.140506569,141.984933,107.913284,0
149.71407,137.332392,114.179201,138.39504994799998,140.820799,105.28593000000001,0
143.334074,137.192936,125.776093,137.72761615999997,129.223907,111.66592600000001,0
149.484241,137.019211,118.245127,138.606009394,136.754873,105.515759,0
157.479978,140.843523,122.507428,143.727508215,132.492572,97.52002200000001,0
148.602384,127.316027,106.311891,131.28617623899999,148.688109,106.397616,0
155.737387,145.547154,131.199859,146.958442037,123.800141,99.26261299999999,0
158.699751,143.289478,125.081411,145.821429989,129.918589,96.30024900000001,0
164.463458,142.829846,123.961789,147.14733748999998,131.038211,90.536542,0
167.097437,142.994708,123.960073,148.03147558100002,131.039927,87.90256299999999,0
157.130022,141.589972,124.454889,144.28304748799997,130.54511100000002,97.869978,0
147.326215,137.073742,122.585319,138.487551205,132.414681,107.67378500000001,0
144.390271,134.512028,118.81101,135.675706605,136.18899,110.60972899999999,0
157.549837,142.429583,124.58432,144.916178964,130.41568,97.450163,0
145.228719,135.207579,119.59885,136.424504754,135.40115,109.77128099999999,0
157.968384,139.704444,123.327891,143.29843501799996,131.672109,97.03161600000001,0
161.885833,146.887091,131.039273,149.565063606,123.96072699999999,93.11416700000001,0
169.597154,152.220962,138.294693,155.828848742,116.705307,85.40284600000001,0
156.781608,142.736192,126.163289,145.04646044199998,128.83671099999998,98.218392,0
168.226899,144.253438,126.315344,149.376560123,128.68465600000002,86.773101,0
171.387043,150.173639,134.135063,154.688049132,120.864937,83.612957,0
159.6023,135.612738,116.207745,140.573447836,138.792255,95.39769999999999,0
162.474033,138.880955,116.089837,143.33709787,138.910163,92.52596700000001,0
164.711615,155.349937,142.978457,156.738730002,112.02154300000001,90.288385,0
164.815721,143.171053,123.489997,147.399168348,131.51000299999998,90.184279,0
166.800625,157.424831,142.82216,158.56348891200003,112.17784,88.199375,0
167.129353,158.86037,146.535714,159.927785133,108.46428599999999,87.87064699999999,0
153.867347,142.638676,131.458105,144.721463535,123.54189500000001,101.132653,0
166.160918,155.991961,142.155785,157.455155079,112.84421499999999,88.83908199999999,0
147.137528,131.51668,110.549976,133.797109296,144.45002399999998,107.862472,0
146.378281,135.225663,117.179248,136.503004472,137.820752,108.62171900000001,0
170.024255,141.579712,114.883108,147.041217501,140.116892,84.97574499999999,0
155.726467,142.931523,123.167531,144.504116168,131.832469,99.27353299999999,0
156.749575,139.361567,114.834055,141.764445024,140.165945,98.250425,0
162.19032,141.272907,116.726992,144.728979177,138.273008,92.80967999999999,0
158.290259,143.808925,124.032384,145.884318192,130.96761600000002,96.70974100000001,0
157.176134,141.93898,120.293956,144.02735631,134.70604400000002,97.82386600000001,0
164.87359,146.646888,125.696462,149.70832333399997,129.303538,90.12640999999999,0
172.534317,151.345695,134.59074,155.771028108,120.40925999999999,82.46568300000001,0
176.763496,157.770747,124.522177,159.65924197099997,130.477823,78.236504,0
169.222666,151.462836,132.271565,154.585220276,122.72843499999999,85.777334,0
180.852437,161.418979,132.699182,163.955526084,122.30081799999999,74.14756299999999,0
185.026202,163.475923,134.818238,166.652480331,120.18176199999999,69.97379799999999,0
180.066308,172.676847,151.274524,172.446431017,103.72547599999999,74.93369200000001,0
160.838821,140.608272,111.767551,143.369363957,143.232449,94.161179,0
167.758301,158.146693,133.10714,158.16605475,121.89286000000001,87.24169900000001,0
158.514723,150.74237,129.14241,150.603908107,125.85758999999999,96.485277,0
173.712702,161.162434,130.137425,161.37811310599997,124.86257499999999,81.28729799999999,0
175.412629,159.583831,128.13875,160.73190236800002,126.86125000000001,79.58737099999999,0
181.649943,167.214634,145.426624,169.04695825099998,109.573376,73.35005699999999,0
155.259958,138.705554,115.068255,140.96066871000002,139.931745,99.74004199999999,0
159.031508,141.370022,122.555716,144.50597542999998,132.44428399999998,95.968492,0
156.283641,138.590033,117.310809,141.454590256,137.689191,98.71635900000001,0
157.093248,143.721584,126.737787,145.783558678,128.262213,97.90675200000001,0
167.794801,153.808755,138.192671,156.210349178,116.80732900000001,87.205199,0
167.642517,148.45629,129.339397,152.01364607099998,125.66060300000001,87.357483,0
155.800548,148.949209,137.786073,149.725161857,117.21392700000001,99.19945200000001,0
152.368913,143.382433,128.297354,144.34969151399997,126.70264599999999,102.63108700000001,0
148.508118,140.024126,125.665389,140.92394359,129.334611,106.491882,0
154.751891,147.793881,133.996525,148.30142740600002,121.00347500000001,100.248109,0
158.567188,149.542477,139.296452,151.07281873899996,115.70354800000001,96.43281200000001,0
160.965674,153.140186,143.333557,154.362051206,111.66644299999999,94.034326,0
190.384988,164.949628,151.693625,171.043616298,103.306375,64.61501200000001,0
179.053962,146.303234,130.474317,154.291205134,124.52568299999999,75.94603799999999,0
156.257546,157.716691,156.933799,157.191156957,98.066201,98.74245400000001,0
187.47892,177.405057,176.830129,180.351600245,78.169871,67.52108000000001,0
146.907005,136.134273,129.164769,138.560796412,125.835231,108.092995,0
156.790102,151.594261,148.454712,152.78990887299997,106.545288,98.20989800000001,0
171.575675,159.500649,141.146995,161.018765218,113.853005,83.42432500000001,0
161.635804,150.406994,126.47568,151.03623839399998,128.52432,93.36419599999999,0
169.064109,164.088599,158.04178,164.88693912399998,96.95822000000001,85.935891,0
174.419574,172.357998,160.649817,171.63967659000002,94.35018299999999,80.58042599999999,0
193.768498,179.847602,167.812301,182.63792558999995,87.18769900000001,61.231502000000006,0
169.395321,161.048621,141.755299,161.34484559199998,113.24470099999999,85.604679,0
